months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported
212,39,167466,3/17/2010,OH,100/300,1000,1255.35,0,454176,FEMALE,JD,protective-serv,skydiving,not-in-family,60300,-58900,2/14/2018,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Riverwood,3929 Oak Drive,22,2,NO,0,3,YES,59300,11860,5930,41510,Dodge,RAM,2008,N
447,61,214618,5/29/1999,OH,100/300,2000,1137.16,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,2/15/2018,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920,17680,17680,79560,Audi,A3,2006,N
241,45,596785,3/4/14,IL,500/1000,2000,1104.5,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,2/15/2018,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,TL,2011,N
165,33,760179,3/25/2007,OH,100/300,1000,1427.14,0,446895,FEMALE,Associate,tech-support,kayaking,other-relative,35300,-58100,2/15/2018,Parked Car,?,Minor Damage,Police,WV,Northbend,1028 Sky Lane,3,1,NO,1,1,NO,2970,330,330,2310,Toyota,Highlander,2008,N
468,62,586367,6/30/2000,IL,100/300,500,1011.92,0,468168,MALE,PhD,machine-op-inspct,paintball,wife,0,0,2/15/2018,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,3486 Flute Ave,7,3,YES,0,3,?,64350,7150,7150,50050,Chevrolet,Tahoe,2009,N
151,37,931625,10/18/2012,IN,250/500,500,1366.42,0,476198,FEMALE,Associate,protective-serv,cross-fit,unmarried,44000,0,2/15/2018,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6719 Flute St,14,3,NO,1,2,YES,59100,5910,5910,47280,Nissan,Maxima,1998,Y
65,30,396224,9/8/09,IN,100/300,500,1455.65,4000000,616706,FEMALE,College,transport-moving,skydiving,wife,0,-66300,2/15/2018,Multi-vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3110 Lincoln Lane,6,3,?,2,3,NO,79800,15960,7980,55860,Honda,Civic,1999,N
102,28,810189,8/29/1999,OH,250/500,500,1075.41,0,445648,MALE,MD,machine-op-inspct,reading,wife,55200,0,2/15/2018,Single Vehicle Collision,Side Collision,Total Loss,Police,PA,Northbend,8021 Flute Ave,6,1,NO,1,0,NO,73400,7340,7340,58720,Dodge,Neon,1996,N
43,38,149467,3/11/14,OH,500/1000,1000,1601.47,0,465764,MALE,PhD,handlers-cleaners,skydiving,other-relative,64400,0,2/15/2018,Multi-vehicle Collision,Front Collision,Total Loss,Other,SC,Columbus,2903 Weaver Drive,1,3,YES,2,2,?,61650,6850,6850,47950,Nissan,Ultima,2006,N
460,57,396590,11/7/97,OH,100/300,2000,1567.37,0,602514,FEMALE,JD,craft-repair,skydiving,husband,62500,0,2/15/2018,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Riverwood,5865 Sky Lane,10,1,?,2,3,NO,58300,5830,11660,40810,Nissan,Maxima,2014,Y
379,54,505014,12/27/2001,IL,100/300,500,1251.16,0,447750,FEMALE,Associate,machine-op-inspct,kayaking,not-in-family,41400,0,2/15/2018,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,7041 Tree Ridge,14,1,?,0,1,NO,75960,6330,6330,63300,Jeep,Grand Cherokee,2010,N
180,33,113464,4/19/2009,IN,500/1000,2000,1005.47,0,441871,FEMALE,JD,protective-serv,hiking,own-child,58100,-49000,2/15/2018,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,VA,Columbus,6435 Texas Ave,12,4,?,2,3,YES,57700,11540,5770,40390,Jeep,Grand Cherokee,2002,N
322,44,769602,12/19/2004,IL,100/300,1000,1156.19,0,606249,FEMALE,College,machine-op-inspct,cross-fit,husband,49900,-62700,2/15/2018,Multi-vehicle Collision,Side Collision,Major Damage,Fire,NY,Northbrook,3751 Tree Hwy,20,3,YES,0,3,?,49400,9880,4940,34580,Jeep,Wrangler,2010,N
121,31,439341,7/20/1991,IN,100/300,1000,1140.91,0,478388,MALE,Associate,adm-clerical,paintball,other-relative,51300,0,2/15/2018,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Northbend,1030 Pine Lane,15,3,NO,1,2,?,64300,6430,6430,51440,Chevrolet,Silverado,2002,Y
41,25,564654,7/16/2003,OH,100/300,1000,1004.14,0,459889,MALE,Masters,priv-house-serv,sleeping,wife,35400,0,2/15/2018,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NC,Hillsdale,4242 Rock Lane,13,3,NO,1,3,NO,48000,9600,4800,33600,Dodge,RAM,1995,N
245,40,908935,12/11/09,IL,500/1000,1000,1361.45,0,604833,MALE,PhD,handlers-cleaners,camping,unmarried,39300,0,2/15/2018,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,OH,Northbend,7570 Cherokee Drive,12,1,YES,0,2,YES,82170,7470,7470,67230,Suburu,Forrestor,1999,N
22,21,550127,7/4/07,IN,250/500,1000,1248.05,0,443550,FEMALE,High School,exec-managerial,movies,husband,37500,-54000,2/15/2018,Multi-vehicle Collision,Rear Collision,Total Loss,Police,SC,Arlington,9682 Cherokee Ridge,3,3,YES,1,2,?,53280,5920,0,47360,Chevrolet,Malibu,2015,N
177,34,226330,1/23/2013,IL,100/300,2000,1057.77,0,477382,FEMALE,JD,tech-support,bungie-jumping,unmarried,0,-57700,2/16/2018,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Riverwood,2003 Maple Hwy,22,3,?,1,1,NO,18000,2250,2250,13500,Audi,A3,2009,N
128,28,438817,11/16/2007,OH,500/1000,1000,986.53,0,472720,FEMALE,High School,adm-clerical,polo,other-relative,62700,0,2/16/2018,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,Columbus,7819 Oak St,11,1,NO,0,2,YES,101860,18520,18520,64820,Honda,CRV,2007,N
343,52,629663,1/21/2002,IL,500/1000,1000,1053.02,0,602402,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,2/16/2018,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,7331 Sky Hwy,2,1,?,0,2,NO,47630,12990,4330,30310,Toyota,Corolla,2005,Y
298,46,667021,5/2/07,OH,500/1000,1000,1138.42,6000000,477678,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,2/16/2018,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,5277 Texas Lane,18,1,NO,2,3,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,N
272,41,280709,5/6/91,OH,500/1000,2000,1608.34,0,466718,FEMALE,Associate,farming-fishing,reading,own-child,33300,-10600,2/16/2018,Single Vehicle Collision,Side Collision,Major Damage,Other,NY,Springfield,8281 Lincoln Lane,19,1,?,1,1,?,71060,6460,12920,51680,Saab,92x,2010,N
296,42,586104,3/16/2003,IN,250/500,2000,1219.27,0,466970,MALE,Associate,tech-support,paintball,husband,53100,-63400,2/16/2018,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Columbus,1267 Francis Hwy,9,3,YES,1,2,NO,64080,7120,7120,49840,Saab,93,2012,N
10,26,582973,6/11/08,IN,100/300,2000,765.64,0,466191,MALE,MD,sales,base-jumping,not-in-family,0,-22200,2/16/2018,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,SC,Northbrook,6985 Maple Lane,3,3,?,0,3,?,31350,2850,5700,22800,Honda,Accord,2001,Y
85,25,159768,9/3/08,IN,250/500,500,1259.02,0,439534,FEMALE,JD,tech-support,base-jumping,unmarried,67000,-53600,2/16/2018,Parked Car,?,Trivial Damage,None,SC,Northbend,7529 Solo Ridge,8,1,NO,2,2,?,5640,940,940,3760,Nissan,Ultima,2005,N
140,31,388671,5/1/97,OH,250/500,2000,1554.86,6000000,608758,FEMALE,JD,armed-forces,base-jumping,wife,59000,0,2/16/2018,Parked Car,?,Minor Damage,None,WV,Arlington,4585 Francis Ave,2,1,YES,1,2,?,6120,680,680,4760,Honda,Civic,2002,Y
208,36,467106,10/8/95,OH,100/300,2000,1209.41,5000000,476185,MALE,JD,machine-op-inspct,base-jumping,wife,0,0,2/16/2018,Multi-vehicle Collision,Side Collision,Total Loss,Other,NY,Columbus,6681 Texas Ridge,15,3,YES,0,1,?,62810,11420,11420,39970,Nissan,Ultima,1999,N
410,54,171147,8/29/2010,IL,100/300,2000,714.03,0,465979,MALE,MD,protective-serv,board-games,own-child,0,-17000,2/16/2018,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,5765 Washington St,0,1,YES,0,2,NO,59520,9920,9920,39680,Honda,Accord,2001,N
428,53,328387,5/6/14,IL,100/300,1000,1496.44,0,616884,FEMALE,High School,tech-support,camping,unmarried,0,0,2/16/2018,Parked Car,?,Trivial Damage,Police,NC,Springfield,2215 Best Ave,9,1,YES,2,2,NO,6930,630,1260,5040,Honda,CRV,2013,N
137,30,927205,12/16/2011,IL,250/500,500,1039.55,0,466393,MALE,MD,exec-managerial,kayaking,unmarried,55600,-59700,2/16/2018,Multi-vehicle Collision,Front Collision,Minor Damage,Other,WV,Columbus,3818 Texas Ridge,4,3,?,2,1,?,74030,6730,13460,53840,Chevrolet,Tahoe,2005,N
249,43,577858,9/16/1990,OH,100/300,2000,1148.58,0,475524,FEMALE,MD,adm-clerical,golf,not-in-family,0,-71200,2/16/2018,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,SC,Arlington,6309 5th Ave,4,3,YES,2,1,YES,57100,5710,5710,45680,Honda,CRV,2014,N
238,43,444035,5/11/96,OH,250/500,1000,1524.45,4000000,607458,MALE,High School,handlers-cleaners,chess,wife,0,-44800,2/16/2018,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NC,Hillsdale,3397 5th Ave,21,4,NO,0,0,NO,42700,4270,4270,34160,Saab,92x,1995,Y
247,39,599031,10/29/1991,IN,100/300,500,1558.29,0,456781,FEMALE,Masters,protective-serv,reading,unmarried,0,-49300,2/16/2018,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,2577 Texas Ridge,5,1,YES,1,2,?,7700,770,1540,5390,Saab,93,2000,N
228,44,367455,6/6/14,IL,500/1000,1000,1583.91,6000000,610706,MALE,Associate,sales,board-games,unmarried,66000,-46000,2/17/2018,Vehicle Theft,?,Minor Damage,None,NY,Arlington,3041 3rd Ave,20,1,NO,0,1,NO,6500,1300,650,4550,Accura,RSX,2009,N
319,47,527945,4/14/1992,IN,250/500,500,1307.11,0,600648,MALE,College,transport-moving,dancing,not-in-family,0,0,2/17/2018,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,2804 Best St,22,3,NO,0,2,?,59730,10860,10860,38010,Audi,A3,2005,N
206,39,965768,7/27/2014,IN,250/500,1000,1302.4,6000000,603948,MALE,JD,craft-repair,dancing,unmarried,47200,-69700,2/17/2018,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,NY,Hillsdale,1598 3rd Drive,12,3,NO,2,3,YES,36300,3300,9900,23100,Ford,Escape,2013,N
377,53,839884,9/2/96,IL,100/300,500,1693.63,0,452456,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,2/17/2018,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,5640 Embaracadero Lane,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,93,2015,N
105,33,830414,7/8/96,IL,500/1000,500,1310.76,0,476737,FEMALE,High School,adm-clerical,kayaking,not-in-family,0,-40900,2/17/2018,Single Vehicle Collision,Front Collision,Total Loss,Other,VA,Northbrook,9279 Oak Hwy,8,1,YES,0,1,?,70290,12780,6390,51120,Accura,MDX,2008,N
123,31,756459,8/5/05,IN,250/500,500,1326,0,438546,FEMALE,Associate,prof-specialty,basketball,wife,0,-54600,2/17/2018,Single Vehicle Collision,Side Collision,Total Loss,Fire,SC,Northbrook,2914 Oak Drive,13,1,?,1,2,NO,72120,12020,12020,48080,Mercedes,ML350,2009,N
305,49,890328,8/23/2009,IL,100/300,2000,1347.92,0,430853,FEMALE,High School,farming-fishing,bungie-jumping,own-child,0,-42100,2/17/2018,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Hillsdale,5924 Maple Drive,21,3,YES,0,2,?,66550,12100,6050,48400,Volkswagen,Jetta,2003,N
230,39,331595,11/29/1999,IL,100/300,1000,904.7,7000000,454530,FEMALE,MD,craft-repair,bungie-jumping,unmarried,68600,-22300,2/17/2018,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Riverwood,7460 Apache Lane,0,1,?,1,3,NO,74200,14840,14840,44520,Accura,TL,2002,Y
6,27,463727,8/5/92,OH,250/500,500,1075.71,0,604328,FEMALE,High School,prof-specialty,dancing,unmarried,0,-47400,2/17/2018,Vehicle Theft,?,Trivial Damage,Police,WV,Columbus,7615 Weaver Drive,7,1,?,0,1,YES,3190,580,290,2320,Saab,95,2015,N
143,34,847123,3/19/2014,IL,100/300,500,1442.27,0,435100,MALE,College,priv-house-serv,exercise,wife,67900,0,2/17/2018,Single Vehicle Collision,Front Collision,Minor Damage,Other,NY,Columbus,9728 Britain Hwy,10,1,?,2,3,YES,58500,11700,5850,40950,Dodge,RAM,1999,N
66,28,167231,1/26/1994,IN,100/300,2000,1472.77,0,471366,MALE,Associate,adm-clerical,exercise,husband,0,-31700,2/17/2018,Single Vehicle Collision,Front Collision,Total Loss,Other,NY,Springfield,2850 Washington St,0,1,?,2,1,?,48290,8780,8780,30730,Nissan,Maxima,1995,N
283,48,963680,1/4/03,OH,500/1000,1000,1474.66,0,446755,FEMALE,JD,sales,paintball,husband,0,-46200,2/17/2018,Parked Car,?,Trivial Damage,Police,NY,Hillsdale,6484 Tree Drive,9,1,?,2,3,NO,6560,820,820,4920,Volkswagen,Jetta,2003,N
280,43,345539,7/24/2012,IN,100/300,1000,1559.34,0,448912,MALE,JD,transport-moving,hiking,own-child,0,-51600,2/17/2018,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Riverwood,1580 Maple Lane,1,1,NO,0,2,?,77000,14000,7000,56000,Accura,RSX,2004,N
230,44,372891,6/26/2000,IN,250/500,2000,1009.37,0,442210,FEMALE,College,prof-specialty,hiking,other-relative,45400,-39400,2/17/2018,Single Vehicle Collision,Front Collision,Total Loss,Fire,SC,Riverwood,9787 Andromedia Ave,19,1,NO,0,2,YES,74140,13480,13480,47180,BMW,X5,2015,N
93,31,599174,1/14/2008,IL,100/300,2000,1017.18,0,431354,FEMALE,MD,prof-specialty,paintball,husband,0,0,2/17/2018,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NC,Arlington,2014 Rock Ave,21,3,YES,1,3,NO,48070,8740,8740,30590,Saab,92x,2014,N
182,40,439049,12/12/11,IN,100/300,1000,1022.42,0,466161,MALE,PhD,other-service,skydiving,husband,50000,-56900,2/17/2018,Single Vehicle Collision,Front Collision,Total Loss,Other,SC,Northbend,7168 Andromedia Ridge,13,1,YES,0,2,?,71100,7110,14220,49770,Audi,A3,2008,N
282,46,502634,8/17/1991,OH,100/300,2000,1558.86,0,450800,MALE,MD,other-service,dancing,wife,51100,-75100,2/17/2018,Single Vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,7954 Tree Ridge,2,1,?,2,2,NO,69400,13880,6940,48580,BMW,M5,2012,N
16,35,110084,11/27/1990,IL,250/500,1000,1358.03,0,612660,MALE,JD,sales,chess,own-child,59300,-31400,2/17/2018,Single Vehicle Collision,Rear Collision,Total Loss,Other,SC,Hillsdale,8704 Britain Lane,0,1,NO,2,1,?,55000,10000,10000,35000,Volkswagen,Jetta,2008,Y
362,55,636843,12/1/08,OH,100/300,1000,1097.99,0,442239,FEMALE,JD,other-service,base-jumping,unmarried,44400,-71500,2/17/2018,Multi-vehicle Collision,Rear Collision,Total Loss,Police,NY,Hillsdale,5160 2nd Hwy,0,3,NO,0,3,NO,39690,0,0,39690,Suburu,Legacy,1998,N
370,55,528259,12/22/2012,IN,500/1000,2000,1389.13,7000000,456203,MALE,JD,other-service,basketball,wife,0,-53200,2/17/2018,Vehicle Theft,?,Minor Damage,None,NC,Northbrook,4814 Lincoln Lane,6,1,?,0,2,?,9000,900,1800,6300,Mercedes,ML350,2015,N
233,43,898519,5/21/2000,OH,250/500,1000,954.18,0,437470,FEMALE,College,tech-support,dancing,other-relative,0,0,2/17/2018,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbrook,8995 1st Ave,17,3,?,2,3,YES,42500,8500,4250,29750,Nissan,Pathfinder,2000,N
45,31,927354,9/15/1990,IN,100/300,500,1459.5,0,475891,MALE,MD,priv-house-serv,movies,not-in-family,0,0,2/17/2018,Parked Car,?,Minor Damage,None,NY,Springfield,1298 Maple Hwy,6,1,?,1,3,?,6000,1000,1000,4000,Suburu,Impreza,2000,N
156,38,231508,9/16/2009,IL,100/300,500,1367.99,0,462525,MALE,High School,armed-forces,board-games,own-child,26500,0,2/17/2018,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2644 MLK Drive,23,3,?,0,3,?,55200,11040,5520,38640,Saab,92x,1998,Y
458,59,535879,3/5/09,IN,100/300,1000,1685.69,0,472236,FEMALE,High School,protective-serv,hiking,wife,31400,0,2/17/2018,Single Vehicle Collision,Front Collision,Total Loss,Police,VA,Hillsdale,3777 Maple Ave,23,1,?,2,2,YES,71800,14360,14360,43080,Jeep,Grand Cherokee,1995,N
295,46,591269,1/9/99,IN,100/300,500,1672.88,0,478947,FEMALE,High School,armed-forces,dancing,wife,0,0,2/17/2018,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Columbus,4633 5th Lane,5,1,YES,1,1,NO,60700,12140,6070,42490,Honda,Civic,1997,N
124,28,674570,12/8/01,OH,250/500,1000,1235.14,0,443567,MALE,MD,exec-managerial,camping,husband,0,-32100,2/17/2018,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Hillsdale,1643 Washington Hwy,20,3,?,0,1,?,60200,6020,6020,48160,Volkswagen,Passat,2012,N
163,33,529112,1/8/90,IN,100/300,500,1240.47,0,472573,FEMALE,Associate,other-service,polo,husband,35300,0,2/18/2018,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,?,77110,0,14020,63090,Honda,Civic,2014,N
82,27,119513,9/21/1996,IL,100/300,1000,1384.51,0,476727,MALE,PhD,adm-clerical,reading,not-in-family,13100,-38200,2/18/2018,Single Vehicle Collision,Rear Collision,Major Damage,Other,SC,Springfield,9484 Pine Drive,14,1,NO,2,3,?,71680,8960,8960,53760,Volkswagen,Jetta,2007,Y
461,61,781181,6/27/2005,OH,100/300,2000,1402.75,0,449557,MALE,JD,exec-managerial,exercise,husband,0,0,2/18/2018,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,4268 2nd Ave,10,3,?,2,1,YES,72100,7210,14420,50470,Jeep,Wrangler,2006,N
53,36,125324,9/13/2003,OH,500/1000,2000,1712.68,0,614233,MALE,Associate,handlers-cleaners,basketball,not-in-family,72200,0,2/18/2018,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Riverwood,4053 Sky Lane,17,3,?,2,0,YES,51100,10220,5110,35770,Audi,A3,2006,N
235,42,511621,9/22/1990,IN,250/500,500,1072.62,0,444913,FEMALE,Masters,machine-op-inspct,exercise,husband,39900,-60200,2/18/2018,Multi-vehicle Collision,Side Collision,Total Loss,Other,WV,Springfield,3654 Cherokee Ave,7,4,?,2,1,YES,69100,6910,6910,55280,Toyota,Highlander,2006,N
201,40,799501,12/28/1991,OH,250/500,2000,1315.56,0,471806,FEMALE,PhD,transport-moving,video-games,not-in-family,0,0,2/18/2018,Vehicle Theft,?,Minor Damage,Police,SC,Northbrook,7693 Britain Lane,14,1,YES,0,0,YES,6820,1240,1240,4340,Jeep,Grand Cherokee,2003,N
144,36,855186,10/31/1993,IN,500/1000,2000,1255.68,6000000,466303,FEMALE,Associate,sales,reading,other-relative,23600,-15600,2/18/2018,Parked Car,?,Minor Damage,None,NC,Arlington,4055 2nd Drive,7,1,NO,0,0,?,7400,740,1480,5180,Dodge,Neon,2014,N
231,43,203250,4/22/2010,IN,100/300,2000,1331.69,0,469653,FEMALE,Masters,adm-clerical,reading,not-in-family,0,0,2/18/2018,Single Vehicle Collision,Rear Collision,Minor Damage,Police,NY,Northbend,6428 Andromedia Lane,12,1,?,1,2,NO,66950,10300,10300,46350,Chevrolet,Malibu,2015,N
26,39,493161,1/30/1992,IN,250/500,1000,770.76,0,433155,MALE,Masters,tech-support,sleeping,husband,0,-53700,2/18/2018,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Columbus,9821 Francis Ave,0,1,NO,0,2,?,49800,9960,4980,34860,Mercedes,ML350,2015,N
239,41,743092,11/11/13,OH,250/500,1000,1325.44,7000000,474898,FEMALE,JD,farming-fishing,paintball,other-relative,51400,-6300,2/18/2018,Parked Car,?,Trivial Damage,Police,NC,Arlington,6303 1st Drive,22,1,?,0,2,YES,10790,1660,830,8300,Mercedes,E400,2013,N
475,61,607974,8/12/04,IL,500/1000,500,1265.72,0,612506,FEMALE,Masters,handlers-cleaners,paintball,wife,0,-59500,2/18/2018,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,7797 Tree Ridge,23,1,YES,0,2,?,64350,9900,9900,44550,Mercedes,E400,1998,N
293,45,235097,4/28/1992,IL,100/300,1000,1119.23,0,447560,FEMALE,MD,exec-managerial,exercise,unmarried,51500,0,2/18/2018,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Northbend,8701 5th Lane,13,3,NO,1,1,NO,51210,11380,5690,34140,Jeep,Wrangler,2015,N
385,51,178081,7/20/1990,IN,250/500,1000,976.37,0,602842,FEMALE,MD,craft-repair,reading,husband,0,-61000,2/18/2018,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,WV,Riverwood,1422 Flute Ave,14,3,?,1,3,?,67600,13520,6760,47320,Suburu,Legacy,2007,N
76,24,700074,6/6/11,OH,250/500,1000,1622.67,0,600313,FEMALE,MD,priv-house-serv,paintball,husband,0,0,2/18/2018,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,WV,Riverwood,6256 Elm St,6,3,NO,1,1,?,74700,14940,7470,52290,Suburu,Forrestor,1997,N
338,47,884180,8/19/1995,IL,500/1000,500,1143.46,4000000,601600,MALE,MD,priv-house-serv,polo,other-relative,0,0,2/18/2018,Single Vehicle Collision,Front Collision,Total Loss,Other,NC,Arlington,4826 5th St,4,1,YES,2,1,?,58560,9760,9760,39040,Mercedes,E400,2002,N
137,31,484200,10/12/94,OH,250/500,2000,1340.43,0,441175,MALE,High School,exec-managerial,paintball,husband,52700,-40600,2/19/2018,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,3087 Oak Hwy,6,3,NO,1,2,NO,50800,10160,10160,30480,Accura,MDX,2005,N
80,27,193442,8/5/96,IL,100/300,1000,1474.17,0,440327,FEMALE,College,tech-support,exercise,unmarried,0,0,2/19/2018,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,7773 Tree Hwy,13,1,YES,1,0,YES,52800,10560,5280,36960,Saab,95,2004,N
271,40,873114,12/7/95,IL,100/300,1000,1251.65,0,433683,FEMALE,Associate,other-service,camping,wife,71200,0,2/19/2018,Parked Car,?,Minor Damage,None,NY,Hillsdale,1365 Francis Ave,6,1,NO,0,0,NO,3080,560,280,2240,Audi,A3,2012,N
